,bad_word,frequency
318,كيلو ماكياج,1
319,وجه الميزيرية,1
320,وجه الشر,1
321,والله ماتحشمي,1
322,سيري يالحولة,1
323,حمر,1
324,ماشي مربية,1
325,ياخي جايحة,1
326,ضعف شخصية,1
327,ياخي مزعوقة,1
328,مكبر جبهتك,1
329,دراهم يماك,1
330,تفوه عليك,1
331,تباني متحولة,1
332,انت خرية,1
333,خرية اتت,1
334,جرانا زرزومية,1
335,وجه البخس,1
336,رنكي,1
337,الله يدلك,1
338,خلاصت حكايتك,1
339,شحال تكذبي,1
340,امنتوها كذابة,1
341,بلاد القاف,1
342,تبقاي رخيسة,1
343,نعناعة التافهة,1
344,مستوى 00,1
345,تستهلي كتر,1
346,تعيي مكروهة,1
347,صح دلاعة,1
348,الى المزبلة,1
349,ريوڨ,1
350,الخوف يهدر,1
351,ختفو عليك,1
352,كذابة ثاني,1
353,كلي خرى,1
354,روحي ت,1
355,وجه نمي,1
356,روح تعطيه,1
357,شحال متعجبينيش,1
358,شحال متعجبينيس,1
359,روحي تع,1
360,تفو عليكم,1
361,خامجة ,1
362,فيحا خمجا,1
363,كبير وتكذب,1
364,هاني نريڨ,1
365,كبيرة وجايحة,1
366,تفو عليك,1
367,جبهتك صافا,1
368,الله يذلك,2
369,ماشي مربيا,1
370,روحي ادوري,1
371,نتي خرا,1
372,مزلك تكذبي,1
373,كذابة وبلعاطة,1
374,نعناعة مكبوتا,1
375,وجها مطلص,1
376,تفوه رخيسة,1
377,تکذبي,1
378,ياو فاقو,1
379,ياو قيو,1
380,باه يترباو,1
381,عيب عليك,1
382,وجه صحيح,1
383,وقحة ساقطة,1
384,دايرة كي,1
385,نحتشون يماك,1
386,سوتك الخامجة,1
387,يعطيهالك نشاله,1
388,خامجة وفرات,1
389,باختصار رخيصة,1
390,نقصة تريية,1
391,شبهة السطل,1
392,جهناما تكلك,1
393,نعراص تاعك,1
394,يا سوسيال,1
395,اانتي 0,1
396,ياوجه كاويتشو,1
397,علاه تكذب,1
398,سوق لخماج,1
399,ترباي,1
400,واش تحلبتي,1
401,ياخي طالوشة,1
402,النتي شيطانا,1
403,انعدين باباك,1
404,لجبري لتحلاب,1
405,تستاهلي كلبتي,1
406,وجهك كي,1
407,افضحي النقوشه,1
408,متكذبيش يالكذابة,1
409,جبهة الصطل,1
410,خصها سقلة,1
411,هذا مسخوط,1
412,تفوه بهدلتن,1
413,مهبولا جديده,1
414,روحي تعطي,1
415,مرضة هاذي,1
416,نسميها عاق,1
417,جيعانة وتحلبتي,1
418,يابرد واجه,1
419,يا المعزة,1
420,شوفي رحك,1
421,يخي هجال,1
422,مسكينة تغيد,1
423,يا قحبة,1
424,فوزافي لادال,1
425,ما تحشمش,1
426,تعيفي اع,1
427,هذي بيتش,1
428,ناقص تربي,1
429,روحي تلعبي,1
430,تفو خنز,1
431,نقبضك نطرطقك,1
432,يا داندو,1
433,متبرجة زانية,1
434,نتيا خرية,1
435,امشي طعطي,1
436,ماشي متربية,1
437,تعيفي امجبها,1
438,طاحت بيك,1
439,وجه الطوطة,1
440,مغرورة زواخة,1
441,انقرضو يالزح,1
442,الله ابهدلها,1
443,واش مانيكوش,1
444,قليلة الحياء,1
445,هذه يهودية,1
446,وجه تمساح,1
447,حبة خرى,1
448,راكي طحانة,1
449,تاع جهك,1
450,خلاصلها لبوز,1
451,زيد وحدة,1
452,خلاصلها البوز,1
453,سوا,1
454,رااحت الاخلاق,1
455,خصارا عليك,1
456,كرهناك يا,1
457,اوطيحت اومعد,1
458,تحبوا لفتنة,1
459,يخي مراض,1
460,فاجرة كبيرة,1
461,البراءة الخداعة,1
462,لكان معاهابصحته,1
463,يمكن مفبرك,1
464,تستاهل ورخيسة,1
465,بشري مثقوبة,1
466,كانت سكرانة,1
467,بيانو خامجة,1
468,خامجة ماتسواش,1
469,نعديين باباك,1
470,مزالكي قديمة,1
471,فنانو الفسق,1
472,يروجو للماسونية,1
473,وزارة العهر,1
474,حكومة الشكوبي,1
475,مخاصناش تفيش,1
476,اكبر مرخص,1
477,مطبع ومشعوذة,1
478,منحتجوش الفوحة,1
479,زيزو زيزو,1
480,ابناء الحركة,1
481,فيلم لڨية,1
482,المغتصب خصو الاعدام,1
483,انتي ماشي مسلمة,1
484,روحي انصحي روحك,1
485,كافيا تاع الصح,1
486,غول مشي مربيا,1
487,وجهك صحيح تهدري,1
488,وعذاب القبر نسيتيه,1
489,نتيا مرة نتي,1
490,ونتي فرحانة بروحك,1
491,شكون لي رخيسا,1
492,مريضة نفسيا مسكينة,1
493,لقصاص نطبقو عليك,1
494,ترباي نتيا برك,1
495,ربي يهديك ياموسطاشة,1
496,ادي جبهتك وحكايتك,1
497,نتي واش دخلك,1
498,لازم توزني كلامك,1
499,بالعي فمك,1
500,جبهة كي سرالها,1
501,نحملهاش هاذ المخلوقة,1
502,بلعي فمك وحشمي,1
503,امشي اتحجبي وترباي,1
504,فمك جبهتك قدقد,1
505,قبح الله وجهك,1
506,وحد منهم نتيا,1
507,بهدلتينا يا طلابة,1
508,مليحة ليها فيكتورين,1
509,نت وحادة مهبول,1
510,مانسحقوش لي يربينا,1
511,نتي هيا امريدا,1
512,شكون هاد جرانة,1
513,تجمعي وماكيش حاشمة,1
514,ترخف انت وهي,1
515,انتي انسانة مكروها,1
516,اهدري بالعربية يالبدوية,1
517,عندها جبهة التحرير,1
518,وتزيد تكذب ,1
519,من هذا البوكمون,1
520,بوجبهة مكاموفليا بالشعر,1
521,تكذبي وبزاف تاني,1
522,جبهتك والكل يضحك,1
523,تروحي ماشي خير,1
524,اعقاقي طلعي القلب,1
525,شكون الطحانين لعرضوها,1
526,روحي تخري بعيد,1
527,في سلة المهملات,1
528,تفوه وجه الشر,1
529,الجزاير مرحاض فرنسا,1
530,قيو الزلط واعر,1
531,الله لاتربحك نشالله,1
532,بركاي بلاكدب اف,1
533,روحي تلعبي بعيد,1
534,ادي حكايتك بعيد,1
535,خريه مهما بررتي,1
536,قييو راهم فاقو,1
537,امشي تخراي بعيد,1
538,جبهة التحرير الوطني,1
539,مزالك عايشة الجبهة,1
540,الزبلة درتولها الشان,1
541,نحي اعلينا لخمج,1
542,بودماغ شوشا تاعك,1
543,وتزوجها مسكينة بارت,1
