,bad_word,severity
151,"('غبي', 'سخرية')",9.0
152,"('البايرة', 'سخرية')",3.0
153,"('وجه الطاوة', 'سخرية')",4.0
154,"('وجهك كي الخر', 'سب')",10.0
155,"('تخورجي معايا', 'تحرش')",8.0
156,"('مسمومة', 'سب')",5.0
157,"('نيك سوة تاع مك', 'تهديد')",10.0
158,"('عليتيني', 'سب')",5.0
159,"('تدرج', 'سب')",5.0
160,"('تمنييك', 'سخرية')",3.0
161,"('فمك جلغة', 'سخرية')",6.0
162,"('يالمليح', 'تحرش')",7.0
163,"('العبلي بيه', 'سب')",7.0
164,"('مريول', 'سخرية')",4.0
165,"('معجون', 'سخرية')",7.0
166,"('هايشة', 'سخرية')",5.0
167,"('شكم', 'سب')",9.0
168,"('بهيمة', 'سب')",8.0
169,"('ما تسواش', 'سب')",8.0
170,"('ينعل دينك', 'سب')",10.0
171,"('ينعل دين امك', 'سب')",10.0
172,"('ينعل دين ابوك', 'سب')",10.0
173,"('كافيا', 'سخرية')",3.0
174,"('ماشي شباب', 'سخرية')",6.0
175,"('حاجة فيك ماهي شابة', 'سخرية')",6.0
176,"('بايرة', 'سخرية')",10.0
177,"('خانز', 'سب')",7.0
178,"('العاقرة', 'سخرية')",3.0
179,"('عاهرة', 'سب')",10.0
180,"('عروبي', 'سخرية')",10.0
181,"('مشي ولد البلاد', 'سخرية')",10.0
182,"('ينعل طاسيلة تاعك', 'سب')",9.0
183,"('تربى', 'سب')",9.0
184,"('نكرهك', 'سب')",7.0
185,"('درجة', 'سب')",5.0
186,"('قحبة', 'تحرش')",10.0
187,"('خامجة', 'سخرية')",4.0
188,"('يعل', 'سب')",5.0
189,"('حرايمي', 'سب')",9.0
190,"('راس الدلاع', 'سخرية')",7.0
191,"('اعطينا نيكو', 'تحرش')",5.0
192,"('نكففلك', 'تهديد')",6.0
193,"('كز', 'سب')",7.0
194,"('ثكلتك امك', 'سب')",1.0
195,"('ولد القاف', 'سب')",10.0
196,"('ختك', 'سب')",10.0
