,bad_word,frequency
312,ماتاطولهاش قيمة,1
313,وجهك عڨبة,1
314,الله يذلك,2
315,متكذبيش يالكذابة,1
316,افضحي النقوشه,1
317,وجهك كي,1
318,نتي خرا,1
319,لجبري لتحلاب,1
320,انعدين باباك,1
321,انتي شيطانا,1
322,ياخي طالوشة,1
323,واش تحلبتي,1
324,سوق لخماج,1
325,علاه تكذب,1
326,ياوجه كاويتشو,1
327,انتي 0,1
328,جهناما تكلك,1
329,روحي ادوري,1
330,وجها مطلص,1
331,وجه البخس,1
332,جرانا زرزومية,1
333,خرية انت,1
334,انت خرية,1
335,تباني متحولة,1
336,دراهم يماك,1
337,مكبر جبهتك,1
338,ياخي مزعوقة,1
339,ضعف شخصية,1
340,ياخي جايحة,1
341,ماشي مربية,1
342,سيري يالحولة,1
343,والله ماتحشمي,1
344,وجه الشر,1
345,وجه الميزيرية,1
346,سوكتي اسوكلي,1
347,ماشي مربيا,1
348,كيلو ماكياج,1
349,وجه مقلى,1
350,واش دخلك,1
351,ترقصي مليح,1
352,الله يلعن,1
353,دايرة مسيحية,1
354,الله يدلك,1
355,خلاصت حكايتك,1
356,تفوه عليك,1
357,امنتوها كذابة,1
358,جبهتك صافا,1
359,تفو عليك,1
360,كبيرة جايحة,1
361,هاني نريڨ,1
362,شحال تكذبي,1
363,فيحا خمجا,1
364,تفو عليكم,1
365,روحي تع,1
366,شحال متعجبينيس,1
367,شحال متعجبينيش,1
368,روح تعطيه,1
369,وجه نمي,1
370,كبير تكذب,1
371,كلي خرى,1
372,روحي ت,1
373,مستوى 00,1
374,تعيي مكروهة,1
375,الى المزبلة,1
376,تستهلي كتر,1
377,الخوف يهدر,1
378,ختفو عليك,1
379,كذابة ثاني,1
380,بلاد القاف,1
381,تبقاي رخيسة,1
382,يحبو نيكو معليش,1
383,يحق راص تاعك,1
384,سو تاع امك,1
385,حكام العسكر الخبيث,1
386,كذابة على الشعب,1
387,فاقو احكيها لبيبيط,1
388,راهم فاقو طز,1
389,متحشميش وجهك صحيح,1
390,بودماغ شوشا تاعك,1
